iter	F1	Logloss
158	0.6173590794	0.3223551224
159	0.6175988767	0.3223151069
160	0.6178500409	0.3222774299
161	0.6175564482	0.3222383093
162	0.6179153348	0.3221511759
163	0.6179210352	0.3220782378
164	0.6179862843	0.322011985
165	0.6180826189	0.3219449732
166	0.6181605612	0.3218967138
167	0.6184113133	0.321867346
168	0.6188064818	0.321792775
169	0.6188714514	0.3217718514
170	0.6189678676	0.3217285776
171	0.6189011331	0.3217076408
172	0.6190383492	0.321662946
173	0.6192905261	0.3216266204
174	0.6191699759	0.3215836177
175	0.6191588785	0.321541998
176	0.6192478393	0.3214949702
177	0.6191458715	0.3214426078
178	0.619355341	0.3214140629
179	0.6195461799	0.3213565121
180	0.6196054014	0.321327076
181	0.6196108949	0.3212964298
182	0.6199626575	0.3212322771
183	0.6202014702	0.3212102152
184	0.619817998	0.3211609092
185	0.6198848607	0.3211144065
186	0.6198607492	0.3210779073
187	0.6202659616	0.3210222607
188	0.6202659616	0.3210065918
189	0.6201936161	0.3209535347
190	0.6201508202	0.3208877082
191	0.6199471393	0.3208482131
192	0.6200194363	0.3208132295
193	0.6199657907	0.3207700914
194	0.6201803483	0.3207199887
195	0.6202285625	0.3207007314
196	0.6200730778	0.3206713727
197	0.6204322811	0.3206213226
198	0.6203599331	0.320585764
199	0.620300898	0.3205707904
200	0.6203545327	0.3205618185
201	0.6202285625	0.3205480875
202	0.6203358209	0.3205226643
203	0.6202984147	0.3204878687
204	0.6202044545	0.3204438057
205	0.6203117105	0.3203989209
206	0.6207298589	0.3203538049
207	0.6210460869	0.3203256032
208	0.6209094442	0.3202740155
209	0.6211426351	0.3202020994
210	0.621464097	0.3201737093
211	0.6214399503	0.3201254284
212	0.6215901142	0.3201115109
213	0.6216384269	0.3200686277
214	0.6217109099	0.320015619
215	0.6219388945	0.3199775531
216	0.6220753984	0.3199457258
217	0.6222308589	0.3199096542
218	0.6220512223	0.319890309
219	0.6220080821	0.3198589473
220	0.6218872616	0.3198011857
221	0.6221790639	0.3197382592
222	0.6223586078	0.3196818162
223	0.6224362958	0.3196445914
224	0.6228056548	0.3196117357
225	0.6229075232	0.3195539955
226	0.6227330977	0.3195168935
227	0.6228196263	0.3194919972
228	0.6231799651	0.3194388317
229	0.6229813665	0.3194061369
230	0.6232052775	0.3193622383
231	0.6233655376	0.3192927471
232	0.6232587016	0.3192336362
233	0.6232688055	0.3191616629
234	0.6234239826	0.3191417823
235	0.6234290147	0.3191094386
236	0.6235065943	0.3190839942
237	0.6235891867	0.3190661805
238	0.6237051406	0.3190119742
239	0.623841111	0.3189676441
240	0.6235700159	0.3189251885
241	0.6235700159	0.3189126183
242	0.6236475744	0.3188824478
243	0.6237493213	0.3188220155
244	0.6238218981	0.3187985959
245	0.6239193642	0.3187509898
246	0.6239435528	0.3187370344
247	0.624074433	0.3187023109
248	0.6239869712	0.3186703028
249	0.6240210902	0.3186285888
250	0.6243070362	0.318596297
251	0.6242295018	0.3185624674
252	0.6243603659	0.3185350977
253	0.6244087772	0.3184858178
254	0.6244280729	0.3184466996
255	0.6244038618	0.3184220463
256	0.6244765007	0.3183651361
257	0.624471592	0.3183285766
258	0.6247818499	0.3182614904
259	0.6248400481	0.3182266679
260	0.6246898263	0.3181624665
261	0.6249466868	0.318123279
262	0.6248982282	0.3180906411
263	0.6250242333	0.3180307902
264	0.625494301	0.3180031799
265	0.6254167636	0.3179589616
266	0.6255766174	0.3179130032
267	0.6256541458	0.3178869358
268	0.6256008684	0.3178653975
269	0.6254895118	0.3178347371
270	0.6254362156	0.3177907227
271	0.6253490537	0.3177673174
272	0.625474843	0.3177015518
273	0.6256974582	0.3176286393
274	0.6258571927	0.3175896181
275	0.6259541985	0.3175214892
276	0.6258719578	0.3174795228
277	0.6258672144	0.3174538308
278	0.6258429579	0.3174011733
279	0.6256783998	0.3173711602
280	0.6258914729	0.3173377171
281	0.626080217	0.3173042401
282	0.6261287447	0.3172627405
283	0.6262015504	0.3172000115
284	0.6263855515	0.3171691739
285	0.6264873455	0.3171155963
286	0.626826338	0.3170562349
287	0.6269084709	0.3170132908
288	0.6266516837	0.3169706577
289	0.6265648618	0.3169448715
290	0.626826338	0.3169191595
291	0.6266759668	0.316869585
292	0.6267870288	0.3168132692
293	0.626762746	0.3167838614
294	0.6270437815	0.3167450686
295	0.6270102693	0.3167002254
296	0.6271790501	0.3166315739
297	0.6275178184	0.3165993149
298	0.627493512	0.3165756494
299	0.6274449049	0.3165551366
300	0.627493512	0.3165181803
301	0.6276286743	0.3164875922
302	0.6276818217	0.3164376667
303	0.6277061307	0.3163999055
304	0.6278124153	0.3163695493
305	0.6276377434	0.316335409
306	0.6278988734	0.3162981426
307	0.6279429988	0.3162497187
308	0.6281356457	0.3161929931
309	0.6282373892	0.3161533524
310	0.6284254529	0.3161043798
311	0.6282373892	0.3160893016
312	0.6283148155	0.3160519716
313	0.6283966865	0.3160181329
314	0.6281554902	0.3159833193
315	0.6281510165	0.3159451614
316	0.6280978934	0.3159263743
317	0.6281798118	0.315896791
318	0.6281842818	0.3158632317
319	0.6282860351	0.315833211
320	0.6286289386	0.3157827393
321	0.6287019473	0.3157398594
322	0.6289142636	0.3156957247
323	0.6287705712	0.3156567545
324	0.6286931268	0.3156118305
325	0.6288943071	0.31556426
326	0.6289960523	0.3155159736
327	0.6287925697	0.3154781627
328	0.6289517471	0.3154613233
329	0.628889921	0.3154413674
330	0.6288081137	0.3154126524
331	0.6287793736	0.315369137
332	0.6289629544	0.3153490756
333	0.6291465067	0.3153325015
334	0.6289873026	0.3152922041
335	0.6290029042	0.3152373082
336	0.6292482775	0.3151939981
337	0.6291421493	0.3151648174
338	0.628991678	0.3151091826
339	0.6292526222	0.315076655
340	0.6294891641	0.3150327919
341	0.6295378899	0.3150197865
342	0.6295378899	0.3150003462
343	0.6295422004	0.3149848965
344	0.6298646035	0.3149505375
345	0.6295221513	0.3148868891
346	0.6294734399	0.3148544724
347	0.6296038378	0.3148054079
348	0.6296611481	0.3147567503
349	0.6296855054	0.3147212857
350	0.629950495	0.3146951386
351	0.6298359641	0.3146600147
352	0.6297012846	0.3146196256
353	0.6297342257	0.3146072405
354	0.6298847017	0.3145799148
355	0.6300765839	0.3145362563
356	0.6300479653	0.3144929222
357	0.6300479653	0.3144666996
358	0.6298847017	0.3144334935
359	0.6300479653	0.3144123396
360	0.6302270705	0.3143959887
361	0.6302556763	0.3143720791
362	0.6303616322	0.3143502615
363	0.6302556763	0.3143273301
364	0.6304961522	0.3142889864
365	0.6305491106	0.3142623094
366	0.6305776815	0.3142327904
367	0.6303742654	0.3141816495
368	0.6305087367	0.3141422516
369	0.6306306306	0.3141032515
370	0.630480167	0.3140571631
371	0.6305331117	0.3140401441
372	0.6305533001	0.3140018426
373	0.6305734947	0.3139587184
374	0.6304675716	0.3139368819
375	0.630414604	0.3139075197
376	0.6305163411	0.3138803642
377	0.6306062481	0.3138367262
378	0.6304759695	0.3138072432
379	0.6308667749	0.3137631046
380	0.630793614	0.3137393451
381	0.6309565217	0.3136960695
382	0.6309767694	0.3136696568
383	0.631054076	0.3136341948
384	0.6311028644	0.313616214
385	0.6309767694	0.3135978209
386	0.6310867213	0.3135683464
387	0.6311516604	0.3135270404
388	0.6312818927	0.3135012596
389	0.6313917984	0.3134717418
390	0.6314975845	0.3134566093
391	0.6312698045	0.3134131937
392	0.6313714882	0.3133807325
393	0.6312169108	0.3133546094
394	0.6313103981	0.3133185469
395	0.6316074398	0.3132713853
396	0.6315301032	0.3132579854
397	0.6310987397	0.3132109758
398	0.6311760612	0.3131686488
399	0.6312533828	0.3131365404
400	0.6312330885	0.3131000842
401	0.6314650174	0.3130821547
402	0.6314853476	0.3130619604
403	0.6314894275	0.3130290034
404	0.6317457863	0.3129914303
405	0.6318190605	0.3129718922
406	0.631843489	0.3129302283
407	0.6323438466	0.3128822315
408	0.6322869955	0.3128397865
409	0.6324376571	0.3128070449
410	0.6324660765	0.3127644591
411	0.6325678497	0.3127398537
412	0.6328565906	0.3127175337
413	0.632990647	0.3126864362
414	0.6331697136	0.3126534725
415	0.6331735972	0.3126225908
416	0.6333848532	0.3125917883
417	0.6332302937	0.3125668587
418	0.6332264173	0.3125385165
419	0.6333359091	0.3125137334
420	0.6335394127	0.31248004
421	0.6334621329	0.3124715796
422	0.633665662	0.3124323259
423	0.633746764	0.3123877327
424	0.6336618357	0.3123542189
425	0.633665662	0.3123197123
426	0.6336901496	0.3123027121
427	0.6335883762	0.3122713
428	0.633665662	0.3122447976
429	0.6338240408	0.3122058276
430	0.6340634295	0.3121738392
431	0.6340106621	0.3121505167
432	0.6341972114	0.3121400493
433	0.6342499614	0.3121309548
434	0.6342989571	0.3121109423
435	0.6343234578	0.3120720437
436	0.6341689521	0.3120526282
437	0.6343969713	0.3120298958
438	0.6343442148	0.311984604
439	0.6343442148	0.3119552898
440	0.6343442148	0.3119207242
441	0.634583446	0.311863603
442	0.6345099251	0.3118409104
443	0.6345589371	0.3117986647
444	0.6346926166	0.3117797029
445	0.6347906689	0.3117393709
446	0.6349733529	0.3116953665
447	0.6349414809	0.3116549546
448	0.6350224007	0.3116351562
449	0.6351560086	0.3116190241
450	0.6353913279	0.3115932098
451	0.6354158622	0.3115614822
452	0.6353877047	0.3115295473
453	0.6355703143	0.3114922419
454	0.6355984556	0.3114541627
455	0.6357038067	0.3114115368
456	0.635622997	0.3113768183
457	0.6356756757	0.3113524961
458	0.6356475404	0.3113251162
459	0.6356265925	0.3112892156
460	0.6358336872	0.3112735839
461	0.6357283503	0.31125208
462	0.635577517	0.3112249397
463	0.6357528958	0.3111922203
464	0.6357810208	0.3111507835
465	0.6357528958	0.3111265353
466	0.6356756757	0.3111081766
467	0.6358863496	0.3110801127
468	0.6359108984	0.3110317797
469	0.6361425318	0.3110001943
470	0.6360688644	0.3109816499
471	0.6361706234	0.3109681907
472	0.63627591	0.3109452605
473	0.6361706234	0.3109150291
474	0.6362267938	0.3108863476
475	0.636303987	0.3108732903
476	0.6364829396	0.3108402808
477	0.6365425429	0.3107996796
478	0.6365951536	0.3107890892
479	0.636672326	0.3107523258
480	0.6365144908	0.3107226474
481	0.6363776731	0.3106946237
482	0.636402239	0.3106682813
483	0.63627591	0.3106301032
484	0.6363566191	0.3105905956
485	0.6363846866	0.3105657024
486	0.6365355668	0.3105338837
487	0.6363566191	0.3105149265
488	0.6364127499	0.3104949773
489	0.6364162519	0.3104661108
490	0.63661276	0.3104301604
491	0.6367951835	0.3104179348
492	0.637037037	0.3103720727
493	0.6371176176	0.3103370662
494	0.6371701898	0.3102939861
495	0.6372999036	0.3102680462
496	0.6371456123	0.3102293965
497	0.6372753221	0.3102090029
498	0.6374575748	0.3101783134
499	0.6377102299	0.3101377489
500	0.6376330813	0.3101070387
501	0.6377348301	0.3100762639
502	0.6374966238	0.3100417892
503	0.6375704253	0.3100003671
504	0.6378053015	0.3099834815
505	0.6377035265	0.309944568
506	0.6376263601	0.3099284099
507	0.6379070844	0.3098923129
508	0.6380155087	0.3098646559
509	0.6381452048	0.3098175519
510	0.6381238911	0.3097995138
511	0.6379942141	0.3097629788
512	0.6378332497	0.3097404774
513	0.6378858025	0.3097036092
514	0.6378545244	0.3096565307
515	0.6380155087	0.3096249094
516	0.637962963	0.3096100757
517	0.6380155087	0.3095638182
518	0.6380959728	0.3095527154
519	0.6383060784	0.309514577
520	0.6383060784	0.3094935525
521	0.6381797146	0.3094470471
522	0.6384914973	0.3094144755
523	0.63825027	0.3093981422
524	0.6383060784	0.3093643473
525	0.638463615	0.3093386858
526	0.6383372537	0.3093172708
527	0.6384143755	0.30928837
528	0.6385439963	0.309258181
529	0.6384143755	0.3092361743
530	0.6382010337	0.3092004658
531	0.6381485053	0.3091690091
532	0.6383585946	0.3091350428
533	0.6385161191	0.309101265
534	0.6384603517	0.309054993
535	0.6383027965	0.3090278487
536	0.6384603517	0.3089913172
537	0.6386703687	0.3089719685
538	0.6385653683	0.308931378
539	0.6383060784	0.3089228199
540	0.6384111068	0.3089025471
541	0.6384111068	0.3088862944
542	0.6385439963	0.3088491244
543	0.6385472491	0.3088370692
544	0.6385472491	0.3088058702
545	0.6384947563	0.3087765705
546	0.638698234	0.308754164
547	0.6388032079	0.3087085919
548	0.6388556888	0.3086905783
549	0.6391394865	0.3086640258
550	0.6391887724	0.3086458805
551	0.6392444102	0.3086192334
552	0.6392197679	0.3085946828
553	0.6391180325	0.3085435364
554	0.6391458526	0.3084886857
555	0.6390131072	0.3084684623
556	0.6391490346	0.3084384712
557	0.6392507516	0.3084158726
558	0.6393000308	0.3083906423
559	0.6394049179	0.3083647825
560	0.6395097888	0.308340464
561	0.639460501	0.3083200088
562	0.6395375723	0.3082881674
563	0.6399506782	0.3082564718
564	0.6400277435	0.3082139369
565	0.6398982698	0.3081965477
566	0.6397903338	0.3081576285
567	0.6399722522	0.3081320017
568	0.6400030825	0.3081078238
569	0.6400308226	0.3080766096
570	0.640477566	0.3080425921
571	0.6405485573	0.3080183159
572	0.6405732337	0.3079880367
573	0.6404438109	0.3079653519
574	0.6406009245	0.3079554579
575	0.6404715128	0.3079356406
576	0.6407333231	0.3078954626
577	0.6406809691	0.307868936
578	0.6406809691	0.3078549856
579	0.6407333231	0.3078327142
580	0.6408903608	0.307800839
581	0.640628611	0.3077648031
582	0.6409120672	0.3077425253
583	0.6407826824	0.3077157866
584	0.6408844035	0.3076890299
585	0.6409367537	0.3076664109
586	0.6410078595	0.3076444018
587	0.6411925581	0.3076299372
588	0.6411155194	0.3076078267
589	0.6414483821	0.3075809949
590	0.641214316	0.3075514958
591	0.6414265907	0.3075208742
592	0.6415036204	0.3074969795
593	0.6416795069	0.3074745759
594	0.6416271813	0.3074390068
595	0.6416547899	0.307425771
596	0.6415995685	0.3073608533
597	0.6416518992	0.3073399318
598	0.6420428285	0.3072970772
599	0.6418335901	0.3072660124
600	0.6416242873	0.3072588124
601	0.6417289468	0.3072186368
602	0.6419629444	0.3071997545
603	0.6419572337	0.3071671212
604	0.6421389221	0.3071599957
605	0.642188403	0.3071266325
606	0.642188403	0.307101184
